Bird_ID,Tagged_By,Recovery_Time_days,Observation_Counts
B1364,Researcher_A,118,90
B1365,Researcher_A,96,23
B1366,Researcher_B,110,10
B1367,Researcher_A,102,46
B1369,Researcher_B,58,30
B1370,Researcher_A,7,24
B1371,Researcher_B,18,6
B1374,Researcher_C,50,37
B1377,Researcher_B,111,65
B1382,Researcher_A,77,31
B1384,Researcher_B,22,35
B1385,Researcher_B,93,58
B1387,Researcher_B,28,24
B1388,Researcher_A,63,25
B1390,Researcher_A,107,48
B1391,Researcher_C,93,17
B1395,Researcher_A,26,45
B1396,Researcher_B,26,42
B1397,Researcher_A,12,46
B1399,Researcher_B,36,83
B1403,Researcher_B,65,28
B1407,Researcher_B,81,56
B1408,Researcher_A,111,28
B1410,Researcher_B,83,62
B1411,Researcher_B,85,39
B1413,Researcher_A,57,96
B1415,Researcher_C,116,1
B1416,Researcher_C,43,55
B1422,Researcher_B,63,36
B1426,Researcher_C,20,36
B1428,Researcher_C,5,30
B1433,Researcher_B,54,34
B1436,Researcher_A,66,34
B1439,Researcher_A,46,53
B1442,Researcher_A,56,29
B1443,Researcher_A,28,84
B1444,Researcher_A,73,70
B1445,Researcher_A,100,93
B1446,Researcher_C,41,16
B1449,Researcher_C,41,85
B1451,Researcher_C,49,72
B1456,Researcher_B,82,43
B1466,Researcher_C,96,17
B1467,Researcher_C,116,32
B1468,Researcher_C,96,60
B1469,Researcher_C,65,99
B1471,Researcher_C,94,36
B1475,Researcher_B,47,39
B1476,Researcher_A,61,14
B1478,Researcher_A,37,71
B1479,Researcher_A,62,74
B1480,Researcher_B,98,14
B1481,Researcher_C,41,85
B1482,Researcher_C,111,59
B1483,Researcher_C,75,23
B1485,Researcher_C,40,44
B1487,Researcher_A,105,38
B1489,Researcher_C,28,14
B1491,Researcher_A,106,63
B1498,Researcher_B,29,46
B1501,Researcher_A,50,18
B1503,Researcher_B,111,36
B1504,Researcher_A,27,11
B1515,Researcher_C,29,69
B1518,Researcher_C,115,20
B1519,Researcher_A,116,51
B1522,Researcher_A,16,6
B1523,Researcher_B,70,72
B1526,Researcher_B,53,81
B1529,Researcher_A,53,37
B1530,Researcher_A,55,24
B1532,Researcher_B,95,30
B1537,Researcher_B,25,70
B1538,Researcher_C,19,80
B1540,Researcher_A,110,33
B1541,Researcher_C,3,44
B1547,Researcher_A,50,54
B1549,Researcher_C,34,46
B1550,Researcher_C,25,86
B1551,Researcher_B,40,68
B1552,Researcher_A,71,93
B1553,Researcher_B,93,50
B1554,Researcher_C,99,97
B1556,Researcher_A,29,52
B1558,Researcher_A,43,81
B1560,Researcher_B,2,1
B1561,Researcher_A,8,39
B1564,Researcher_A,22,9
B1565,Researcher_C,69,93
B1566,Researcher_A,78,45
B1567,Researcher_B,74,53
B1568,Researcher_B,109,52
B1569,Researcher_C,93,26
B1570,Researcher_C,35,3
B1572,Researcher_A,14,55
B1574,Researcher_C,59,89
B1575,Researcher_A,110,46
B1576,Researcher_C,5,60
B1578,Researcher_B,19,37
B1580,Researcher_A,105,4
B1582,Researcher_B,71,60
B1585,Researcher_A,26,30
B1587,Researcher_A,18,7
B1589,Researcher_A,75,90
B1590,Researcher_C,112,76
B1592,Researcher_B,111,9
B1593,Researcher_A,80,45
B1594,Researcher_C,67,15
B1595,Researcher_A,16,75
B1596,Researcher_B,64,40
B1597,Researcher_C,61,53
B1598,Researcher_B,110,7
B1599,Researcher_A,78,88
B1602,Researcher_B,69,84
B1603,Researcher_C,43,23
B1605,Researcher_C,113,89
B1607,Researcher_C,70,92
B1610,Researcher_C,9,8
B1611,Researcher_A,112,68
B1615,Researcher_A,114,78
B1621,Researcher_C,96,26
B1623,Researcher_A,95,32
B1625,Researcher_A,35,3
B1632,Researcher_A,12,57
B1634,Researcher_C,9,72
B1636,Researcher_B,5,51
B1638,Researcher_A,104,21
B1639,Researcher_A,76,14
B1641,Researcher_C,12,31
B1642,Researcher_C,102,47
B1645,Researcher_A,32,46
B1648,Researcher_A,25,27
B1650,Researcher_A,5,69
B1651,Researcher_C,115,78
B1652,Researcher_B,35,28
B1653,Researcher_C,71,75
B1657,Researcher_A,104,57
B1658,Researcher_C,88,35
B1659,Researcher_A,86,62
B1663,Researcher_A,77,92
B1664,Researcher_B,61,45
B1666,Researcher_A,115,73
B1668,Researcher_B,39,9
B1673,Researcher_B,84,12
B1676,Researcher_B,75,18
B1677,Researcher_A,8,12
B1678,Researcher_A,22,57
B1680,Researcher_C,111,71
B1681,Researcher_B,110,91
B1684,Researcher_B,117,18
B1685,Researcher_B,66,58
B1686,Researcher_B,68,36
B1690,Researcher_C,91,10
B1693,Researcher_A,56,2
B1702,Researcher_C,86,72
B1704,Researcher_C,22,20
B1706,Researcher_A,66,24
B1708,Researcher_B,102,31
B1715,Researcher_A,1,50
B1717,Researcher_B,105,63
B1719,Researcher_C,5,90
B1723,Researcher_C,98,63
B1724,Researcher_A,35,80
B1728,Researcher_A,104,99
B1729,Researcher_C,5,89
B1731,Researcher_A,15,61
B1733,Researcher_A,77,86
B1734,Researcher_A,98,66
B1735,Researcher_C,6,58
B1736,Researcher_B,99,65
B1741,Researcher_A,100,25
B1742,Researcher_C,75,20
B1744,Researcher_C,54,37
B1748,Researcher_B,52,83
B1749,Researcher_A,67,49
B1750,Researcher_B,81,48
B1752,Researcher_A,111,3
B1754,Researcher_C,38,95
B1756,Researcher_A,108,78
B1757,Researcher_B,57,19
B1760,Researcher_C,18,50
B1762,Researcher_B,113,20
B1763,Researcher_C,57,27
B1768,Researcher_C,100,50
B1770,Researcher_B,108,4
B1772,Researcher_B,79,29
B1773,Researcher_C,97,6
B1775,Researcher_A,42,11
B1777,Researcher_A,52,42
B1780,Researcher_A,57,11
B1782,Researcher_A,116,21
B1785,Researcher_A,117,26
B1786,Researcher_A,97,47
B1787,Researcher_C,27,94
B1788,Researcher_A,30,91
B1790,Researcher_A,47,33
B1791,Researcher_C,103,4
B1792,Researcher_B,7,67
B1794,Researcher_C,26,8
B1795,Researcher_A,99,92
B1797,Researcher_B,35,95
B1798,Researcher_B,65,45
B1800,Researcher_C,95,46
B1801,Researcher_C,103,45
B1805,Researcher_A,62,9
B1808,Researcher_B,88,62
B1809,Researcher_B,67,34
B1810,Researcher_C,90,43
B1813,Researcher_C,76,78
B1815,Researcher_C,64,68
B1816,Researcher_B,39,23
B1817,Researcher_B,87,29
B1819,Researcher_B,47,40
B1821,Researcher_B,119,80
B1822,Researcher_A,108,12
B1823,Researcher_C,116,28
B1827,Researcher_C,76,49
B1828,Researcher_A,21,89
B1831,Researcher_B,47,63
B1833,Researcher_A,96,49
B1836,Researcher_C,107,86
B1838,Researcher_A,12,26
B1840,Researcher_B,22,88
B1843,Researcher_A,81,42
B1846,Researcher_A,47,35
B1848,Researcher_B,90,61
B1849,Researcher_B,76,56
B1850,Researcher_A,116,96
B1851,Researcher_A,12,43
B1852,Researcher_B,20,26
B1853,Researcher_A,102,39
B1855,Researcher_C,50,12
B1857,Researcher_C,25,50
B1860,Researcher_C,10,38
B1861,Researcher_B,32,85
B1863,Researcher_C,72,81
B1865,Researcher_C,58,12
B1869,Researcher_A,117,45
B1871,Researcher_A,100,32
B1872,Researcher_B,45,58
B1873,Researcher_C,33,57
B1875,Researcher_B,57,42
B1877,Researcher_B,55,13
B1881,Researcher_A,45,99
B1882,Researcher_A,37,4
B1885,Researcher_A,78,24
B1887,Researcher_A,44,88
B1889,Researcher_C,10,83
B1893,Researcher_C,114,94
B1894,Researcher_B,13,56
B1895,Researcher_C,111,86
B1897,Researcher_A,100,34
B1898,Researcher_B,87,22
B1900,Researcher_B,98,18
B1902,Researcher_A,7,60
B1907,Researcher_C,96,11
B1909,Researcher_A,102,34
B1913,Researcher_C,11,28
B1915,Researcher_A,35,80
B1918,Researcher_B,14,40
B1920,Researcher_A,14,46
B1921,Researcher_A,69,9
B1922,Researcher_A,75,6
B1924,Researcher_C,114,32
B1925,Researcher_C,1,68
B1926,Researcher_C,61,45
B1928,Researcher_B,31,59
B1929,Researcher_C,2,86
B1931,Researcher_A,48,23
B1932,Researcher_B,111,14
B1935,Researcher_B,69,39
B1936,Researcher_A,113,38
B1937,Researcher_C,6,43
B1939,Researcher_C,66,33
B1941,Researcher_A,9,77
B1944,Researcher_A,98,69
B1948,Researcher_A,13,26
B1950,Researcher_A,78,90
B1951,Researcher_B,82,3
B1952,Researcher_C,69,27
B1953,Researcher_A,65,8
B1954,Researcher_B,77,50
B1957,Researcher_B,48,57
B1962,Researcher_B,113,68
B1966,Researcher_A,114,61
B1967,Researcher_B,18,48
B1968,Researcher_A,91,70
B1979,Researcher_C,6,40
B1982,Researcher_A,58,40
B1984,Researcher_B,71,4
B1987,Researcher_A,65,6
B1988,Researcher_A,99,67
B1992,Researcher_B,35,37
B1993,Researcher_B,112,72
B1995,Researcher_B,94,19
B1998,Researcher_C,49,41
B1999,Researcher_B,63,70
B2000,Researcher_B,19,15
B2002,Researcher_A,100,44
B2003,Researcher_C,35,86
B2004,Researcher_B,52,4
B2005,Researcher_C,109,2
B2006,Researcher_B,117,64
B2007,Researcher_B,101,19
B2008,Researcher_A,100,10
B2009,Researcher_B,106,63
B2012,Researcher_C,71,46
B2014,Researcher_A,70,77
B2015,Researcher_B,118,70
B2018,Researcher_A,100,84
B2020,Researcher_A,22,18
B2029,Researcher_A,88,79
B2030,Researcher_C,98,74
B2032,Researcher_B,6,89
B2035,Researcher_C,37,38
B2038,Researcher_B,97,33
B2040,Researcher_C,31,45
B2043,Researcher_C,31,38
B2044,Researcher_B,102,46
B2045,Researcher_C,107,58
B2046,Researcher_C,49,96
B2047,Researcher_B,42,49
B2048,Researcher_B,87,21
B2049,Researcher_A,15,96
B2050,Researcher_A,107,38
B2053,Researcher_C,50,72
B2058,Researcher_B,99,60
B2061,Researcher_A,60,65
B2062,Researcher_A,38,51
B2063,Researcher_C,89,96
B2066,Researcher_A,94,64
B2067,Researcher_B,67,17
B2068,Researcher_B,75,2
B2069,Researcher_B,112,79
B2071,Researcher_C,20,78
B2073,Researcher_B,36,95
B2074,Researcher_B,36,17
B2075,Researcher_C,71,37
B2076,Researcher_C,119,31
B2077,Researcher_C,3,75
B2080,Researcher_C,11,70
B2082,Researcher_B,117,5
B2087,Researcher_A,61,31
B2088,Researcher_A,26,82
B2089,Researcher_A,28,98
B2091,Researcher_C,48,53
B2092,Researcher_C,73,39
B2093,Researcher_A,57,96
B2096,Researcher_C,46,97
B2097,Researcher_A,69,45
B2099,Researcher_B,85,28
B2100,Researcher_C,42,88
B2101,Researcher_A,28,95
B2107,Researcher_C,86,4
B2109,Researcher_B,14,71
B2111,Researcher_A,65,16
B2113,Researcher_A,74,65
B2114,Researcher_C,3,58
B2115,Researcher_B,93,4
B2117,Researcher_A,39,59
B2118,Researcher_B,4,61
B2120,Researcher_B,21,86
B2121,Researcher_C,92,69
B2124,Researcher_B,28,17
B2131,Researcher_B,64,49
B2134,Researcher_B,85,61
B2137,Researcher_C,27,51
B2138,Researcher_A,15,33
B2139,Researcher_B,36,93
B2141,Researcher_A,25,27
B2143,Researcher_B,91,39
B2144,Researcher_A,100,52
B2145,Researcher_C,118,68
B2146,Researcher_A,65,3
B2147,Researcher_C,111,15
B2148,Researcher_B,4,73
B2155,Researcher_B,85,42
B2158,Researcher_C,93,47
B2159,Researcher_C,83,5
B2162,Researcher_B,2,51
B2164,Researcher_B,27,32
B2170,Researcher_C,118,57
B2172,Researcher_B,79,74
B2178,Researcher_C,18,96
B2182,Researcher_A,11,99
B2183,Researcher_A,17,46
B2185,Researcher_B,62,42
B2186,Researcher_B,3,45
B2188,Researcher_C,25,39
B2189,Researcher_C,25,91
B2190,Researcher_A,19,90
B2191,Researcher_C,66,66
B2196,Researcher_A,54,34
B2199,Researcher_A,115,71
B2200,Researcher_C,108,9
B2202,Researcher_C,46,51
B2204,Researcher_B,100,17
B2209,Researcher_C,81,73
B2210,Researcher_C,81,51
B2211,Researcher_B,116,5
B2212,Researcher_A,64,12
B2214,Researcher_B,45,96
B2216,Researcher_C,118,6
B2220,Researcher_A,107,32
B2223,Researcher_B,94,88
B2225,Researcher_C,63,72
B2226,Researcher_C,118,24
B2227,Researcher_A,115,80
B2230,Researcher_A,97,18
B2231,Researcher_A,58,36
B2234,Researcher_C,27,76
B2236,Researcher_B,119,96
B2237,Researcher_B,2,4
B2238,Researcher_C,108,59
B2239,Researcher_C,90,50
B2240,Researcher_B,9,38
B2242,Researcher_B,30,37
B2246,Researcher_B,32,86
B2247,Researcher_B,1,81
B2249,Researcher_A,86,39
B2250,Researcher_B,100,44
B2252,Researcher_C,38,50
B2253,Researcher_B,24,72
B2254,Researcher_A,47,93
B2257,Researcher_A,81,16
B2259,Researcher_C,112,51
B2260,Researcher_C,54,24
B2263,Researcher_B,64,17
B2264,Researcher_B,52,36
B2266,Researcher_C,104,15
B2267,Researcher_A,50,8
B2268,Researcher_A,116,6
B2269,Researcher_B,74,51
B2270,Researcher_C,76,19
B2271,Researcher_A,36,66
B2272,Researcher_C,38,66
B2275,Researcher_B,48,42
B2277,Researcher_B,42,36
B2279,Researcher_C,5,73
B2281,Researcher_C,42,4
B2282,Researcher_A,106,3
B2286,Researcher_C,10,81
B2287,Researcher_B,107,26
B2293,Researcher_A,85,86
B2297,Researcher_C,88,52
B2298,Researcher_A,108,40
B2301,Researcher_A,76,14
B2303,Researcher_A,44,35
B2305,Researcher_B,13,50
B2306,Researcher_C,42,22
B2307,Researcher_B,64,84
B2310,Researcher_B,102,65
B2311,Researcher_C,105,82
B2313,Researcher_A,99,77
B2314,Researcher_C,62,33
B2315,Researcher_A,40,57
B2317,Researcher_C,23,65
B2319,Researcher_A,33,42
B2320,Researcher_A,76,32
B2322,Researcher_C,89,27
B2324,Researcher_A,96,37
B2326,Researcher_A,49,48
B2328,Researcher_B,54,78
B2332,Researcher_C,61,80
B2333,Researcher_B,11,13
B2334,Researcher_A,49,61
B2336,Researcher_A,35,23
B2337,Researcher_C,48,13
B2339,Researcher_C,4,4
B2340,Researcher_B,87,28
B2341,Researcher_C,24,24
B2342,Researcher_B,68,91
B2344,Researcher_A,94,5
B2345,Researcher_B,90,74
B2346,Researcher_C,17,9
B2349,Researcher_B,38,67
B2350,Researcher_B,39,54
B2351,Researcher_C,81,35
B2352,Researcher_C,7,88
B2353,Researcher_A,43,6
B2356,Researcher_B,51,11
B2357,Researcher_A,54,1
B2359,Researcher_B,5,83
B2363,Researcher_C,93,23
B2368,Researcher_B,52,4
B2370,Researcher_B,85,62
B2371,Researcher_A,73,28
B2373,Researcher_C,3,62
B2375,Researcher_B,28,3
B2377,Researcher_B,66,57
B2378,Researcher_B,22,29
B2380,Researcher_A,19,10
B2381,Researcher_A,74,29
B2383,Researcher_A,72,3
B2385,Researcher_B,9,8
B2386,Researcher_C,79,91
B2387,Researcher_A,65,2
B2392,Researcher_C,66,16
B2394,Researcher_B,90,56
B2395,Researcher_A,107,94
B2396,Researcher_B,77,6
B2397,Researcher_A,7,84
B2398,Researcher_B,57,24
B2399,Researcher_A,70,39
B2400,Researcher_C,54,96
B2402,Researcher_A,17,42
B2404,Researcher_C,116,4
B2408,Researcher_A,34,97
B2409,Researcher_B,33,15
B2410,Researcher_A,106,69
B2414,Researcher_A,16,65
B2415,Researcher_A,69,14
B2416,Researcher_A,70,82
B2417,Researcher_A,118,90
B2418,Researcher_A,99,13
B2420,Researcher_C,31,66
B2421,Researcher_B,15,81
B2422,Researcher_C,46,96
B2424,Researcher_B,71,81
B2425,Researcher_A,115,21
B2427,Researcher_B,57,25
B2428,Researcher_C,101,59
B2432,Researcher_A,71,79
B2433,Researcher_B,112,10
B2435,Researcher_C,34,47
B2436,Researcher_C,60,2
B2437,Researcher_B,75,65
B2438,Researcher_B,77,14
B2441,Researcher_A,86,19
B2443,Researcher_A,72,72
B2444,Researcher_B,4,11
B2447,Researcher_C,109,45
B2449,Researcher_B,94,58
B2454,Researcher_C,73,1
B2455,Researcher_C,114,82
B2456,Researcher_A,99,14
B2457,Researcher_A,99,9
B2458,Researcher_B,98,79
B2461,Researcher_C,60,29
B2462,Researcher_C,117,75
B2463,Researcher_A,109,4
B2465,Researcher_A,2,8
B2466,Researcher_B,106,72
B2469,Researcher_B,116,91
B2473,Researcher_A,98,62
B2474,Researcher_A,83,78
B2477,Researcher_C,21,18
B2478,Researcher_C,20,19
B2479,Researcher_C,40,78
B2481,Researcher_B,67,5
B2483,Researcher_B,117,46
B2484,Researcher_B,115,31
B2485,Researcher_B,101,61
B2490,Researcher_B,1,67
B2491,Researcher_B,12,35
B2492,Researcher_B,27,30
B2493,Researcher_C,112,74
B2495,Researcher_B,115,67
B2496,Researcher_A,98,88
B2497,Researcher_C,85,90
B2498,Researcher_C,106,39
B2501,Researcher_A,113,95
B2505,Researcher_C,47,84
B2506,Researcher_A,36,69
B2509,Researcher_C,105,50
B2511,Researcher_A,100,55
B2512,Researcher_C,92,93
B2514,Researcher_B,65,36
B2515,Researcher_C,96,20
B2517,Researcher_B,12,68
B2520,Researcher_C,70,40
B2521,Researcher_B,84,77
B2522,Researcher_C,18,93
B2523,Researcher_C,70,20
B2525,Researcher_C,92,77
B2530,Researcher_A,81,33
B2531,Researcher_C,20,76
B2532,Researcher_A,94,27
B2533,Researcher_C,88,42
B2534,Researcher_B,3,82
B2535,Researcher_A,22,78
B2537,Researcher_C,11,7
B2541,Researcher_A,13,66
B2542,Researcher_A,9,96
B2554,Researcher_A,35,33
B2558,Researcher_C,102,7
B2560,Researcher_A,46,47
B2561,Researcher_B,94,46
B2563,Researcher_B,72,85
B2566,Researcher_C,27,85
B2567,Researcher_B,40,87
B2568,Researcher_B,117,38
B2569,Researcher_C,94,42
B2570,Researcher_B,26,91
B2573,Researcher_B,44,18
B2574,Researcher_C,54,30
B2575,Researcher_B,25,60
B2578,Researcher_B,92,46
B2579,Researcher_A,89,46
B2584,Researcher_B,35,62
B2585,Researcher_A,42,32
B2586,Researcher_A,17,75
B2589,Researcher_A,74,81
B2590,Researcher_A,53,40
B2592,Researcher_C,13,29
B2594,Researcher_B,66,43
B2596,Researcher_A,50,45
B2597,Researcher_B,63,97
B2598,Researcher_B,93,14
B2599,Researcher_A,71,52
B2606,Researcher_C,72,95
B2609,Researcher_A,24,81
B2610,Researcher_B,91,53
B2611,Researcher_B,97,36
B2612,Researcher_C,16,1
B2613,Researcher_A,25,70
B2614,Researcher_B,115,92
B2616,Researcher_A,119,79
B2618,Researcher_C,43,55
B2619,Researcher_C,45,18
B2621,Researcher_B,26,14
B2622,Researcher_C,86,66
B2623,Researcher_C,43,60
B2627,Researcher_A,77,46
B2628,Researcher_B,87,92
B2629,Researcher_A,97,53
B2630,Researcher_A,91,85
B2632,Researcher_A,5,45
B2635,Researcher_A,79,36
B2636,Researcher_C,106,23
B2637,Researcher_A,80,8
B2638,Researcher_A,114,19
B2640,Researcher_A,50,47
B2641,Researcher_C,84,56
B2645,Researcher_C,45,42
B2647,Researcher_C,27,90
B2648,Researcher_B,110,41
B2649,Researcher_A,58,84
B2650,Researcher_C,116,19
B2652,Researcher_C,51,8
B2653,Researcher_B,108,62
B2658,Researcher_A,21,8
B2660,Researcher_C,35,39
B2662,Researcher_B,18,60
B2668,Researcher_A,2,84
B2670,Researcher_C,96,55
B2675,Researcher_C,85,49
B2677,Researcher_C,85,60
B2678,Researcher_C,69,70
B2681,Researcher_A,44,88
B2682,Researcher_C,104,17
B2684,Researcher_A,28,23
B2688,Researcher_C,110,19
B2691,Researcher_A,79,3
B2692,Researcher_B,70,74
B2695,Researcher_C,11,99
B2697,Researcher_B,25,48
B2699,Researcher_A,55,60
B2703,Researcher_C,80,47
B2706,Researcher_A,69,9
B2711,Researcher_B,76,11
B2712,Researcher_C,78,57
B2713,Researcher_B,109,61
B2715,Researcher_A,66,77
B2718,Researcher_B,78,11
B2720,Researcher_C,11,27
B2722,Researcher_B,48,97
B2723,Researcher_B,4,99
B2724,Researcher_C,116,80
B2728,Researcher_A,35,47
B2730,Researcher_C,26,3
B2732,Researcher_A,52,95
B2734,Researcher_B,5,40
B2736,Researcher_A,96,3
B2738,Researcher_A,65,80
B2739,Researcher_B,4,16
B2740,Researcher_A,118,13
B2741,Researcher_A,108,9
B2742,Researcher_C,115,75
B2743,Researcher_A,40,67
B2744,Researcher_A,99,27
B2745,Researcher_B,63,68
B2746,Researcher_C,34,19
B2748,Researcher_A,96,78
B2749,Researcher_B,113,61
B2750,Researcher_B,27,30
B2751,Researcher_C,12,88
B2752,Researcher_C,84,31
B2753,Researcher_A,28,71
B2756,Researcher_B,42,13
B2757,Researcher_C,65,47
B2758,Researcher_A,71,10
B2760,Researcher_A,102,59
B2761,Researcher_A,28,82
B2762,Researcher_B,37,35
B2763,Researcher_B,43,92
B2766,Researcher_B,57,70
B2769,Researcher_B,53,95
B2770,Researcher_B,26,75
B2776,Researcher_C,109,99
B2780,Researcher_B,27,93
B2785,Researcher_A,40,79
B2787,Researcher_C,11,42
B2788,Researcher_C,78,64
B2792,Researcher_B,81,36
B2796,Researcher_B,94,1
B2799,Researcher_A,100,53
B2800,Researcher_B,48,63
B2801,Researcher_C,69,2
B2802,Researcher_B,102,21
B2803,Researcher_C,51,38
B2804,Researcher_C,61,31
B2805,Researcher_A,95,3
B2808,Researcher_A,16,96
B2809,Researcher_A,71,66
B2812,Researcher_C,49,52
B2813,Researcher_B,91,94
B2814,Researcher_B,101,41
B2818,Researcher_A,71,26
B2819,Researcher_B,29,30
B2820,Researcher_C,102,51
B2821,Researcher_C,68,80
B2823,Researcher_A,92,30
B2824,Researcher_A,83,74
B2825,Researcher_C,86,57
B2827,Researcher_A,105,31
B2828,Researcher_C,112,84
B2829,Researcher_A,11,70
B2834,Researcher_B,92,71
B2835,Researcher_A,18,79
B2838,Researcher_C,61,23
B2839,Researcher_C,96,22
B2840,Researcher_B,2,8
B2843,Researcher_A,88,2
B2845,Researcher_A,118,91
B2850,Researcher_C,108,30
B2851,Researcher_C,83,90
B2854,Researcher_C,59,55
B2858,Researcher_A,65,36
